ENGLISH,TURKISH
abandon,terk etmek
ability,yetenek
able,hünerli
abortion,kürtaj
about,hakkında
above,üstünde
abroad,yurt dışı
absence,yokluk
absolute,mutlak
absolutely,kesinlikle
absorb,emmek
abuse,suistimal etmek
academic,akademik
accept,kabul etmek
access,erişim
accident,kaza
accompany,eşlik etmek
accomplish,sonuçlandırmak
according,binaen
account,hesap
accurate,kesin
accuse,suçlamak
achieve,başarmak
achievement,başarı
acid,asit
acknowledge,kabullenmek
acquire,elde etmek
across,karşısında
act,davranmak
action,aksiyon
active,aktif
activist,aktivist
activity,aktivite
actor,aktör
actress,aktris
actual,gerçek
actually,Aslında
ad,reklam
adapt,uyum sağlamak
add,eklemek
addition,ek
additional,ek olarak
address,adres
adequate,yeterli
adjust,ayarlamak
adjustment,ayar
administration,yönetim
administrator,yönetici
admire,beğenmek
admission,giriş
admit,itiraf etmek
adolescent,ergen
adopt,evlat edinmek
adult,yetişkin
advance,ilerlemek
advanced,gelişmiş
advantage,avantaj
adventure,macera
advertising,reklam
advice,tavsiye
advise,öğüt vermek
adviser,danışman
advocate,avukat
affair,mesele
affect,etkilemek
afford,parası yetmek
afraid,korkmuş
African,Afrika
African-American,Afrikalı-Amerikalı
after,sonrasında
afternoon,öğleden sonra
again,Tekrar
against,aykırı
age,yaş
agency,ajans
agenda,gündem
agent,ajan
aggressive,agresif
ago,evvel
agree,kabul etmek
agreement,anlaşma
agricultural,tarımsal
ah,Ah
ahead,ilerde
aid,yardım
aide,yardımcı
AIDS,AIDS
aim,amaç
air,hava
aircraft,uçak
airline,havayolu
airport,havalimanı
album,albüm
alcohol,alkol
alive,canlı
all,Tümü
alliance,ittifak
allow,izin vermek
ally,müttefik
almost,neredeyse
alone,yalnız
along,birlikte
already,çoktan
also,Ayrıca
alter,değiştirmek
alternative,alternatif
although,rağmen
always,Her zaman
AM,AM
amazing,inanılmaz
American,Amerikan
among,arasında
amount,miktar
analysis,analiz
analyst,analist
analyze,analiz etmek
ancient,antik
and,Ve
anger,kızgınlık
angle,açı
angry,sinirli
animal,hayvan
anniversary,yıl dönümü
announce,duyurmak
annual,yıllık
another,bir diğer
answer,cevap
anticipate,beklemek
anxiety,endişe
any,herhangi
anybody,herhangi biri
anymore,artık değil
anyone,herhangi biri
anything,herhangi bir şey
anyway,Neyse
anywhere,herhangi bir yer
apart,ayrı
apartment,daire
apparent,belirgin
apparently,görünüşe göre
appeal,çekici
appear,belli olmak
appearance,dış görünüş
apple,elma
application,başvuru
apply,uygula
appoint,atamak
appointment,randevu
appreciate,takdirle karşılamak
approach,yaklaşmak
appropriate,uygun
approval,onay
approve,onaylamak
approximately,yaklaşık olarak
Arab,Arap
architect,mimar
area,alan
argue,tartışmak
argument,argüman
arise,kalkmak
arm,kol
armed,silahlı
army,ordu
around,etrafında
arrange,düzenlemek
arrangement,ayarlama
arrest,tutuklamak
arrival,varış
arrive,varmak
art,sanat
article,madde
artist,sanatçı
artistic,sanatsal
as,gibi
Asian,Asya
aside,bir kenara
ask,sormak
asleep,uyuya kalmak
aspect,bakış açısı
assault,saldırı
assert,ileri sürmek
assess,değer biçmek
assessment,değerlendirme
asset,varlık
assign,atamak
assignment,atama
assist,yardım etmek
assistance,yardım
assistant,asistan
associate,iş arkadaşı
association,dernek
assume,farz etmek
assumption,varsayım
assure,garanti etmek
at,en
athlete,atlet
athletic,atletik
atmosphere,atmosfer
attach,eklemek
attack,saldırı
attempt,girişim
attend,katılmak
attention,dikkat
attitude,davranış
attorney,avukat
attract,cezbetmek
attractive,çekici
attribute,bağlanmak
audience,kitle
author,yazar
authority,otorite
auto,oto
available,mevcut
average,ortalama
avoid,kaçınmak
award,ödül
aware,farkında olmak
awareness,farkındalık
away,uzak
awful,berbat
baby,Bebek
back,geri
background,arka plan
bad,kötü
badly,kötü
bag,çanta
bake,pişmek
balance,denge
ball,top
ban,yasak
band,bant
bank,banka
bar,çubuk
barely,neredeyse
barrel,varil
barrier,bariyer
base,temel
baseball,beyzbol
basic,temel
basically,temel olarak
basis,temel
basket,sepet
basketball,basketbol
bathroom,banyo
battery,pil
battle,savaş
be,olmak
beach,sahil
bean,fasulye
bear,ayı
beat,vurmak
beautiful,Güzel
beauty,güzellik
because,Çünkü
become,haline gelmek
bed,yatak
bedroom,yatak odası
beer,bira
before,önce
begin,başlamak
beginning,başlangıç
behavior,davranış
behind,arka
being,yapı
belief,inanç
believe,inanmak
bell,zil
belong,ait olmak
below,altında
belt,kemer
bench,tezgah
bend,bükülmek
beneath,altında
benefit,fayda
beside,yanında
besides,Ayrıca
best,en iyi
bet,bahis
better,daha iyi
between,arasında
beyond,öte
Bible,İncil
big,büyük
bike,bisiklet
bill,fatura
billion,milyar
bind,bağlamak
biological,biyolojik
bird,kuş
birth,doğum
birthday,doğum günü
bit,biraz
bite,ısırmak
black,siyah
blade,bıçak
blame,suçlamak
blanket,battaniye
blind,kör
block,engellemek
blood,kan
blow,üflemek
blue,mavi
board,pano
boat,bot
body,vücut
bomb,bomba
bombing,bombalama
bond,bağlamak
bone,kemik
book,kitap
boom,patlama
boot,bot
border,sınır
born,doğmak
borrow,borç almak
boss,patron
both,ikisi birden
bother,rahatsız etmek
bottle,şişe
bottom,alt
boundary,sınır
bowl,tas
box,kutu
boy,erkek çocuk
boyfriend,erkek arkadaş
brain,beyin
branch,dal
brand,marka
bread,ekmek
break,kırmak
breakfast,kahvaltı
breast,göğüs
breath,nefes
breathe,nefes almak
brick,tuğla
bridge,köprü
brief,kısa bilgi
briefly,kısaca
bright,parlak
brilliant,muhteşem
bring,getirmek
British,İngiliz
broad,geniş
broken,kırık
brother,Erkek kardeş
brown,kahverengi
brush,fırçalamak
buck,para
budget,bütçe
build,inşa etmek
building,bina
bullet,kurşun
bunch,demet
burden,yük
burn,yakmak
bury,gömmek
bus,otobüs
business,işletme
busy,Meşgul
but,Ancak
butter,tereyağı
button,düğme
buy,satın almak
buyer,alıcı
by,ile
cabin,kabin
cabinet,kabine
cable,kablo
cake,kek
calculate,hesaplamak
call,Arama
camera,kamera
camp,kamp
campaign,kampanya
campus,kampüs
can,olabilmek
Canadian,Kanadalı
cancer,kanser
candidate,aday
cap,kap
capability,yetenek
capable,yetenekli
capacity,kapasite
capital,başkent
captain,kaptan
capture,esir almak
car,araba
carbon,karbon
card,kart
care,bakım
career,kariyer
careful,dikkatli olmak
carefully,dikkatlice
carrier,taşıyıcı
carry,taşımak
case,dava
cash,peşin
cast,döküm
cat,kedi
catch,yakalamak
category,kategori
Catholic,Katolik
cause,neden
ceiling,tavan
celebrate,kutlamak
celebration,kutlama
celebrity,ünlü
cell,hücre
center,merkez
central,merkezi
century,yüzyıl
CEO,CEO
ceremony,tören
certain,kesin
certainly,kesinlikle
chain,zincir
chair,sandalye
chairman,başkan
challenge,meydan okumak
chamber,odacık
champion,şampiyon
championship,şampiyonluk
chance,şans
change,değiştirmek
changing,değişiyor
channel,kanal
chapter,bölüm
character,karakter
characteristic,karakteristik
characterize,karakterize etmek
charge,şarj
charity,hayır kurumu
chart,çizelge
chase,takip etmek
cheap,ucuz
check,kontrol etmek
cheek,yanak
cheese,peynir
chef,şef
chemical,kimyasal
chest,göğüs
chicken,tavuk
chief,şef
child,çocuk
childhood,çocukluk
Chinese,Çince
chip,çip
chocolate,çikolata
choice,seçenek
cholesterol,kolesterol
choose,seçmek
Christian,Hıristiyan
Christmas,Noel
church,kilise
cigarette,sigara
circle,daire
circumstance,durum
cite,alıntı yapmak
citizen,vatandaş
city,şehir
civil,sivil
civilian,sivil
claim,iddia
class,sınıf
classic,klasik
classroom,sınıf
clean,temiz
clear,temizlemek
clearly,açıkça
client,müşteri
climate,iklim
climb,tırmanmak
clinic,klinik
clinical,klinik
clock,saat
close,kapalı
closely,yakından
closer,daha yakın
clothes,kıyafetler
clothing,giyim
cloud,bulut
club,kulüp
clue,ipucu
cluster,küme
coach,koç
coal,kömür
coalition,koalisyon
coast,sahil
coat,kaban
code,kod
coffee,Kahve
cognitive,bilişsel
cold,soğuk
collapse,yıkılmak
colleague,iş arkadaşı
collect,TOPLAMAK
collection,koleksiyon
collective,kolektif
college,üniversite
colonial,sömürge
color,renk
column,kolon
combination,kombinasyon
combine,birleştirmek
come,Gelmek
comedy,komedi
comfort,konfor
comfortable,rahat
command,emretmek
commander,komutan
comment,Yorum
commercial,reklam
commission,komisyon
commit,işlemek
commitment,bağlılık
committee,komite
common,yaygın
communicate,iletişim
communication,iletişim
community,toplum
company,şirket
compare,karşılaştırmak
comparison,karşılaştırmak
compete,rekabet etmek
competition,yarışma
competitive,rekabetçi
competitor,yarışmacı
complain,şikayet etmek
complaint,şikayet
complete,tamamlamak
completely,tamamen
complex,karmaşık
complicated,karmaşık
component,bileşen
compose,beste yapmak
composition,kompozisyon
comprehensive,kapsayıcı
computer,bilgisayar
concentrate,konsantre olmak
concentration,konsantrasyon
concept,kavram
concern,kaygı
concerned,endişeli
concert,konser
conclude,sonuçlandırmak
conclusion,çözüm
concrete,beton
condition,durum
conduct,yönetmek
conference,konferans
confidence,kendinden emin
confident,kendinden emin
confirm,onaylamak
conflict,anlaşmazlık
confront,yüzleşmek
confusion,"bilinç bulanıklığı, konfüzyon"
Congress,Kongre
congressional,kongre
connect,bağlamak
connection,bağlantı
consciousness,bilinç
consensus,fikir birliği
consequence,sonuçlar
conservative,tutucu
consider,dikkate almak
considerable,hatırı sayılır
consideration,düşünce
consist,meydana gelmek
consistent,tutarlı
constant,devamlı
constantly,sürekli
constitute,oluşturmak
constitutional,anayasal
construct,inşa etmek
construction,yapı
consultant,danışman
consume,tüketmek
consumer,tüketici
consumption,tüketim
contact,temas etmek
contain,içermek
container,konteyner
contemporary,modern
content,içerik
contest,yarışma
context,bağlam
continue,devam etmek
continued,devam etti
contract,sözleşme
contrast,zıtlık
contribute,katkı yapmak
contribution,katkı
control,kontrol
controversial,tartışmalı
controversy,tartışma
convention,kongre
conventional,geleneksel
conversation,konuşma
convert,dönüştürmek
conviction,mahkumiyet
convince,ikna etmek
cook,aşçı
cookie,kurabiye
cooking,yemek pişirmek
cool,Serin
cooperation,işbirliği
cop,polis
cope,başa çıkmak
copy,kopyala
core,çekirdek
corn,Mısır
corner,köşe
corporate,kurumsal
corporation,şirket
correct,doğru
correspondent,muhabir
cost,maliyet
cotton,pamuk
couch,kanepe
could,olabilir
council,konsey
counselor,danışman
count,saymak
counter,tezgah
country,ülke
county,kontluk
couple,çift
courage,cesaret
course,kurs
court,mahkeme
cousin,kuzen
cover,kapak
coverage,kapsama
cow,inek
crack,çatırtı
craft,zanaat
crash,kaza
crazy,deli
cream,krem
create,yaratmak
creation,yaratılış
creative,yaratıcı
creature,yaratık
credit,kredi
crew,mürettebat
crime,suç
criminal,suçlu
crisis,kriz
criteria,kriterler
critic,eleştirmen
critical,kritik
criticism,eleştiri
criticize,eleştirmek
crop,mahsul
cross,geçmek
crowd,kalabalık
crucial,hayati
cry,ağlamak
cultural,kültürel
culture,kültür
cup,bardak
curious,meraklı
current,akım
currently,şu anda
curriculum,müfredat
custom,gelenek
customer,müşteri
cut,kesmek
cycle,döngü
dad,baba
daily,günlük
damage,zarar
dance,dans
